case,n,method,port_response_mae,node_voltage_mae_norm,displacement_current_error_percent,peak_voltage_error_percent,peak_location_hit,peak_location_distance_norm,edge_retention
58,6,learned_gate,2.3312753217196817e-06,1.5614685762149532e-07,32.492600233246556,1.9772693887513752e-05,1.0,0.0,0.38888888888888884
59,8,distance,1.8669897648133e-06,1.3543384243705296e-07,22.808872460081005,1.332541599998977e-05,1.0,0.0,0.40625
59,8,magnitude,2.201278191127596e-06,1.1329957844844172e-07,23.542262287373635,1.3498976442740056e-05,1.0,0.0,0.40625
59,8,fisher_proxy,1.6206646083052888e-06,1.9677005944489565e-07,28.432634432263637,1.3572322759009697e-05,1.0,0.0,0.40625
59,8,oracle_edge_current,1.3711147985806063e-06,1.082191940235527e-07,19.162838429285657,1.0194737634322036e-05,1.0,0.0,0.40625
59,8,learned_gate,1.3711147985806063e-06,1.082191940235527e-07,19.162838429285657,1.0194737634322036e-05,1.0,0.0,0.40625
60,4,distance,3.932516716033917e-06,1.666187431602018e-07,47.7222139968853,4.2992622804733815e-05,1.0,0.0,0.375
60,4,magnitude,3.1021378579462628e-06,1.3431888073146252e-07,40.38501705303413,2.911171359732933e-05,1.0,0.0,0.375
60,4,fisher_proxy,2.045787480710557e-06,1.522337042396258e-07,33.91990542585196,2.5599316628676925e-05,1.0,0.0,0.375
60,4,oracle_edge_current,2.045787480710557e-06,1.522337042396258e-07,33.91990542585196,2.5599316628676925e-05,1.0,0.0,0.375
60,4,learned_gate,2.045787480710557e-06,1.522337042396258e-07,33.91990542585196,2.5599316628676925e-05,1.0,0.0,0.375
61,6,distance,2.5588857242901084e-06,1.3963011195067015e-07,41.1339242550421,2.017453554156936e-05,1.0,0.0,0.38888888888888884
61,6,magnitude,2.7844274461275134e-06,1.305211519120922e-07,42.090515513140915,2.2472850611117635e-05,1.0,0.0,0.38888888888888884
61,6,fisher_proxy,1.6925009667653642e-06,1.4455390033121166e-07,35.03965952361759,1.7076425639612644e-05,1.0,0.0,0.38888888888888884
61,6,oracle_edge_current,1.758950733731004e-06,1.4023260477693698e-07,34.815299780976076,1.7357836583588686e-05,1.0,0.0,0.38888888888888884
61,6,learned_gate,1.9159488809094546e-06,1.273575491587306e-07,34.93891526087419,1.629152092922601e-05,1.0,0.0,0.38888888888888884
62,8,distance,1.594319932372625e-06,1.1061640822122275e-07,24.18226178838739,1.1024233133376465e-05,1.0,0.0,0.40625
62,8,magnitude,1.632057065371432e-06,1.0921636189579207e-07,24.352214346231666,1.1340494103918992e-05,1.0,0.0,0.40625
62,8,fisher_proxy,1.2182761457482187e-06,1.448149031635928e-07,27.02762988746156,1.0094315123332095e-05,1.0,0.0,0.40625
62,8,oracle_edge_current,1.1832707046785517e-06,1.0040936298975501e-07,21.534919586173544,8.630223683009947e-06,1.0,0.0,0.40625
62,8,learned_gate,1.2170243106531438e-06,9.642814484991113e-08,21.576345258763112,9.151028231106173e-06,1.0,0.0,0.40625
63,4,distance,2.2293160939249102e-06,8.856295881774586e-08,46.592508282290055,2.2301218047167875e-05,1.0,0.0,0.375
63,4,magnitude,1.9171049306574857e-06,8.379885545667637e-08,42.62708247620031,1.7400692048868054e-05,1.0,0.0,0.375
63,4,fisher_proxy,1.236475338584151e-06,8.97322841148021e-08,35.55503443825509,1.5007619008925691e-05,1.0,0.0,0.375
63,4,oracle_edge_current,1.26926341061905e-06,8.518077523662937e-08,35.288454279317186,1.6621350655721696e-05,1.0,0.0,0.375
63,4,learned_gate,1.3795119021483537e-06,9.031219249345335e-08,35.58792953887579,1.8274835553761032e-05,1.0,0.0,0.375
